Date,Close,Volume,Open,High,Low
7/12/2024,559.99,53084410,557.63,563.67,557.15
7/11/2024,556.48,53054180,561.44,562.33,555.83
7/10/2024,561.32,38701220,557.07,561.67,556.77
7/9/2024,555.82,27314130,556.26,557.18,555.52
7/8/2024,555.28,36110450,555.44,556.2501,554.19
7/5/2024,554.64,41488390,551.77,555.05,551.12
7/3/2024,551.46,32789910,548.69,551.83,548.65
7/2/2024,549.01,40434790,543.7,549.01,543.65
7/1/2024,545.34,40297810,545.63,545.88,542.52
6/28/2024,544.22,76144540,547.16,550.28,542.95
6/27/2024,546.37,35041480,545.37,546.96,544.61
6/26/2024,545.51,38550640,543.69,546.24,543.03
6/25/2024,544.83,38273350,543.99,545.2,542.44
6/24/2024,542.74,45528650,544.33,546.95,542.62
6/21/2024,544.51,64513860,544.4,545.65,543.02
6/20/2024,547,70328230,549.44,550.12,545.18
6/18/2024,548.49,41376420,547.16,548.62,546.73
6/17/2024,547.1,55839460,542.08,548.53,541.6072
6/14/2024,542.78,40089900,540.88,542.81,539.85
6/13/2024,542.45,44760950,543.15,543.325,539.59
6/12/2024,541.36,63251310,541.63,544.12,540.3
6/11/2024,536.95,36383410,534.07,537.01,532.05
6/10/2024,535.66,35729250,533.18,535.99,532.57
6/7/2024,534.01,43224530,533.66,536.89,532.535
6/6/2024,534.66,30808530,534.98,535.42,532.68
6/5/2024,534.67,47610370,530.77,534.69,528.7254
6/4/2024,528.39,34632660,526.46,529.15,524.96
6/3/2024,527.8,46835700,529.02,529.31,522.6
5/31/2024,527.37,90785760,523.59,527.5,518.36
5/30/2024,522.61,46468510,524.52,525.2,521.33
5/29/2024,526.1,45190320,525.68,527.31,525.37
5/28/2024,529.81,36269600,530.27,530.51,527.11
5/24/2024,529.44,41291080,527.85,530.27,526.881
5/23/2024,525.96,57211200,532.96,533.07,524.72
5/22/2024,529.83,48389970,530.65,531.38,527.6
5/21/2024,531.36,33437000,529.28,531.52,529.07
5/20/2024,530.06,37764210,529.57,531.5601,529.17
5/17/2024,529.45,59187590,528.81,529.52,527.32
5/16/2024,528.69,50244830,529.88,531.5218,528.54
5/15/2024,529.78,59504900,525.83,530.08,525.18
5/14/2024,523.3,57535870,521.11,523.83,520.56
5/13/2024,520.91,36716360,522.56,522.67,519.74
5/10/2024,520.84,52233170,521.81,522.635,519.59
5/9/2024,520.17,43643670,517.38,520.2074,516.705
5/8/2024,517.19,42047210,515.26,517.74,515.14
5/7/2024,517.14,52561300,517.56,518.57,516.45
5/6/2024,516.57,47264700,513.75,516.61,513.3
5/3/2024,511.29,72756710,511.16,512.55,508.56
